Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
c-9,c-9,c-5,716,UA,MCI,ORD,403,Y
c-8,c-11,c-4,2139,F9,SAN,DEN,853,Y
c-3,c-12,c-6,6,AS,ANC,FAI,261,Y
c-5,c-16,c-1,1725,MQ,MLI,ORD,139,N
c-4,c-17,c-7,1024,HP,PHX,BOI,735,N
c-3,c-20,c-7,1524,OO,MLU,IAH,262,N
c-11,c-17,c-4,1035,NW,MSP,TPA,1307,N
c-7,c-27,c-3,1500,WN,SAN,LAS,258,N
c-2,c-18,c-5,1744,US,PVD,DCA,357,Y
c-8,c-8,c-1,1750,OH,BHM,CVG,396,Y
c-3,c-22,c-2,1310,OO,SFO,RNO,192,Y
c-7,c-23,c-6,1437,OO,BNA,DEN,1013,Y
c-1,c-30,c-7,1145,EV,SNA,DFW,1205,N
c-2,c-26,c-6,454,DL,PNS,ATL,272,N
c-11,c-7,c-1,1255,UA,LAX,ORD,1745,N
c-12,c-9,c-5,1606,MQ,DFW,CLL,164,Y
c-10,c-4,c-2,1753,EV,SLC,LAX,590,Y
c-7,c-5,c-2,1743,XE,ORD,CLE,316,N
c-11,c-7,c-1,1555,MQ,DCA,RDU,227,N
c-10,c-2,c-7,927,XE,IAH,GRK,166,N
c-7,c-14,c-4,1752,EV,CVG,MSP,596,Y
c-6,c-19,c-7,1953,AS,SFO,SEA,679,Y
c-7,c-12,c-2,50,DL,SEA,ATL,2182,Y
c-3,c-19,c-6,1630,WN,LAS,BUR,223,N
c-6,c-8,c-3,839,OO,ELP,DEN,563,N
c-5,c-1,c-7,1218,UA,ORD,SFO,1846,Y
c-8,c-19,c-5,1350,XE,ATL,IAH,689,Y
c-1,c-18,c-2,2016,HP,SMF,LAS,397,N
c-1,c-22,c-6,1340,WN,GEG,SLC,546,Y
c-9,c-22,c-4,1436,NW,ORD,MSP,334,N
c-5,c-10,c-2,700,AS,PHX,PDX,1009,N
c-12,c-18,c-7,1510,WN,OAK,PDX,543,Y
c-10,c-27,c-4,2104,MQ,DFW,CMH,927,Y
c-10,c-6,c-4,848,MQ,BGR,BOS,201,N
c-12,c-26,c-1,1305,WN,ALB,BWI,288,N
c-12,c-30,c-5,710,EV,SBN,ATL,566,N
c-2,c-16,c-3,924,OH,CVG,HPN,597,N
c-8,c-14,c-7,2356,FL,ATL,PHL,665,Y
c-4,c-2,c-6,1817,NW,RDU,DTW,501,Y
c-1,c-20,c-4,2155,WN,OAK,LAX,337,Y
c-10,c-16,c-7,1350,WN,ISP,BWI,220,N
c-7,c-29,c-5,2135,NW,DTW,RDU,501,Y
c-6,c-6,c-1,1755,OH,MCO,BNA,616,Y
c-4,c-6,c-3,1545,WN,DAL,HOU,239,Y
c-5,c-25,c-3,1552,HP,SMF,PHX,647,Y
c-5,c-27,c-5,1143,AA,DFW,HNL,3784,N
c-11,c-24,c-4,1504,WN,RDU,BWI,255,N
c-6,c-16,c-4,1149,AS,PSG,JNU,123,Y
c-5,c-13,c-5,1423,EV,SLC,MCI,919,Y
c-3,c-5,c-6,2146,UA,ORD,MSY,837,Y
c-2,c-12,c-6,1920,HA,HNL,OGG,100,N
c-7,c-5,c-2,1250,WN,RNO,BOI,335,N
c-11,c-14,c-1,46,UA,ANC,DEN,2406,Y
c-3,c-5,c-6,1601,UA,ORD,CLT,599,N
c-6,c-28,c-2,2017,NW,ORD,MSP,334,Y
c-8,c-6,c-6,1606,AA,MIA,DFW,1121,N
c-8,c-18,c-4,1504,WN,MCI,MDW,405,Y
c-4,c-23,c-6,1430,WN,SDF,BWI,495,N
c-5,c-1,c-7,1633,DL,ATL,DCA,547,N
c-9,c-2,c-5,1334,FL,ATL,DEN,1199,N
c-8,c-28,c-7,1909,DL,ATL,ELP,1282,Y
c-2,c-24,c-4,1414,XE,DAB,EWR,884,Y
c-10,c-29,c-6,1349,B6,JFK,RSW,1074,Y
c-6,c-29,c-3,1938,AA,BOS,STL,1046,Y
c-10,c-19,c-3,1958,EV,ATL,PFN,247,Y
c-1,c-28,c-5,1300,OH,LGA,RDU,431,N
c-10,c-25,c-2,2100,EV,ATL,CLT,227,Y
c-8,c-30,c-2,1919,DL,ATL,ABQ,1269,Y
c-5,c-7,c-6,1227,OH,CVG,ICT,699,N
c-8,c-14,c-7,839,OO,SLC,OAK,588,N
c-11,c-18,c-5,1640,WN,SJC,SAN,417,Y
c-1,c-2,c-7,734,MQ,ORD,CVG,264,Y
c-1,c-14,c-5,1748,XE,IAH,SHV,192,N
c-7,c-2,c-6,1600,WN,BWI,STL,737,N
c-10,c-15,c-6,1225,NW,SYR,DTW,374,N
c-12,c-26,c-1,1940,AA,ORD,MIA,1197,Y
c-11,c-9,c-3,2105,EV,CVG,ILM,500,N
c-6,c-3,c-5,1511,US,PHL,BNA,675,Y
c-2,c-19,c-6,1929,HP,LAS,DFW,1055,Y
c-3,c-4,c-5,1427,US,PHL,MHT,290,Y
c-1,c-17,c-1,1715,AA,ORD,EWR,719,Y
c-5,c-9,c-1,1225,EV,AEX,ATL,500,N
c-12,c-17,c-6,1220,MQ,ORD,TOL,214,N
c-8,c-1,c-1,1430,WN,MCO,MDW,989,N
c-3,c-2,c-3,1500,XE,BDL,CLE,475,Y
c-1,c-9,c-7,1050,OO,SNA,SFO,372,N
c-12,c-1,c-4,1541,NW,DTW,MSP,528,Y
c-12,c-7,c-3,2205,AA,HOU,AUS,148,Y
c-11,c-11,c-5,1619,AA,LGA,DFW,1389,Y
c-10,c-28,c-5,2003,OH,CVG,HPN,597,N
c-7,c-13,c-3,1549,MQ,DFW,HOU,247,Y
c-8,c-5,c-5,1855,NW,MSP,IAD,908,N
c-8,c-22,c-1,2041,MQ,BOS,CMH,640,Y
c-2,c-13,c-7,815,MQ,SPS,DFW,113,N
c-10,c-27,c-4,2045,WN,PHX,SLC,507,Y
c-8,c-30,c-2,728,OO,ONT,LAX,47,N
c-6,c-26,c-7,1828,UA,SFO,SEA,679,N
c-6,c-28,c-2,1629,F9,DEN,DFW,641,Y
c-2,c-1,c-2,1346,MQ,ORD,MKE,67,N
c-4,c-12,c-2,1425,UA,GEG,DEN,836,N
c-9,c-27,c-2,1113,XE,ATL,IAH,689,N
c-1,c-24,c-1,1607,AS,ANC,FAI,261,Y
c-10,c-16,c-7,1033,F9,DEN,CAK,1224,N
c-5,c-1,c-7,1838,NW,MEM,LAX,1619,N
c-1,c-29,c-6,2224,UA,DEN,ORD,888,Y
c-9,c-1,c-4,1508,UA,SFO,LAX,337,Y
c-3,c-12,c-6,1936,HA,KOA,HNL,163,N
c-9,c-4,c-7,809,NW,FAR,MSP,223,Y
c-11,c-30,c-3,1112,AA,LAX,BNA,1797,Y
c-7,c-18,c-1,1004,XE,EWR,MHT,209,Y
c-2,c-21,c-1,1702,AA,ORD,STL,258,Y
c-6,c-26,c-7,1930,WN,PHX,LAX,370,Y
c-8,c-17,c-3,2244,AS,SFO,PDX,550,Y
c-5,c-23,c-1,734,CO,CLE,BOS,563,N
c-3,c-3,c-4,1410,TZ,IND,PIE,840,N
c-8,c-4,c-4,1731,NW,MSP,PHL,980,Y
c-3,c-11,c-5,2305,NW,MSP,MOT,449,Y
c-9,c-2,c-5,1647,UA,LAX,SFO,337,N
c-6,c-11,c-6,1947,US,FLL,CLT,631,N
c-9,c-13,c-2,1725,AA,LGA,MIA,1097,N
c-8,c-14,c-7,1850,MQ,BTR,DFW,383,Y
c-7,c-25,c-1,1742,WN,SEA,OAK,671,Y
c-4,c-12,c-2,1730,OH,CVG,PNS,608,N
c-2,c-23,c-3,1729,US,CLT,PHL,448,N
c-1,c-30,c-7,1748,CO,BHM,IAH,562,N
c-8,c-11,c-4,1805,OH,BTV,BOS,181,N
c-12,c-26,c-1,1129,XE,LRD,IAH,301,Y
c-12,c-30,c-5,755,MQ,COS,ORD,911,N
c-5,c-1,c-7,847,XE,RDU,IAH,1043,N
c-11,c-16,c-3,1919,UA,SMF,LAX,373,Y
c-5,c-3,c-2,1444,OH,CVG,ATW,411,N
c-9,c-27,c-2,652,OO,FCA,SLC,532,N
c-10,c-2,c-7,1706,NW,ALB,DTW,488,Y
c-4,c-21,c-4,2049,AA,DFW,LAX,1235,Y
c-2,c-13,c-7,1520,EV,LAS,SLC,368,Y
c-11,c-6,c-7,1915,WN,OAK,SAN,446,Y
c-10,c-13,c-4,1656,FL,PHF,LGA,288,Y
c-2,c-25,c-5,1010,WN,PHX,SMF,647,Y
c-11,c-22,c-2,2340,MQ,DFW,XNA,281,Y
c-4,c-6,c-3,623,FL,DCA,ATL,547,N
c-1,c-1,c-6,1751,UA,CMH,DEN,1155,Y
c-6,c-29,c-3,1433,B6,FLL,JFK,1069,N
c-7,c-23,c-6,633,XE,IND,EWR,644,N
c-3,c-28,c-1,1352,DL,TPA,BDL,1111,Y
c-10,c-4,c-2,1316,XE,IND,EWR,644,N
c-2,c-6,c-7,1144,DL,HSV,ATL,151,N
c-5,c-8,c-7,1509,NW,DTW,ATL,594,N
c-11,c-12,c-6,1055,WN,CMH,MDW,284,N
c-1,c-30,c-7,1840,US,PHL,CLT,448,Y
c-3,c-7,c-1,741,OO,IAH,CLL,74,N
c-1,c-21,c-5,1247,UA,ORD,LGA,733,Y
c-6,c-27,c-1,1155,OH,CHS,CVG,497,Y
c-6,c-20,c-1,616,US,ORD,PIT,412,N
c-5,c-19,c-4,1040,EV,GTR,ATL,241,Y
c-10,c-27,c-4,1909,AA,DFW,HSV,603,Y
c-7,c-21,c-4,2125,WN,STL,OMA,342,Y
c-8,c-8,c-1,2100,OO,ORD,COS,911,Y
c-11,c-17,c-4,913,AA,LAX,LIH,2615,N
c-9,c-23,c-5,2152,DH,IAD,CLT,321,Y
c-12,c-23,c-5,1016,OO,MRY,LAX,267,Y
c-4,c-7,c-4,1028,NW,MBS,DTW,98,N
c-6,c-15,c-3,925,WN,AUS,DAL,189,N
c-9,c-8,c-4,1656,XE,CLE,DFW,1021,N
c-5,c-20,c-5,1258,HP,SMF,PHX,647,Y
c-10,c-31,c-1,1525,UA,DEN,MCI,533,N
c-10,c-14,c-5,1820,WN,HOU,STL,687,Y
c-9,c-19,c-1,1302,B6,RSW,JFK,1074,Y
c-12,c-29,c-4,1239,MQ,ORD,PIA,130,Y
c-8,c-6,c-6,1917,FL,ATL,MIA,595,N
c-1,c-31,c-1,1350,DH,IAD,CHS,441,N
c-1,c-21,c-5,1640,EV,ATL,CHA,106,N
c-7,c-25,c-1,1753,MQ,BDL,RDU,532,Y
c-4,c-16,c-6,1012,AA,ORD,TUS,1437,N
c-8,c-3,c-3,1954,OO,IAH,DEN,861,Y
c-5,c-27,c-5,1825,MQ,SAN,LAX,109,N
c-12,c-8,c-4,2140,OH,RDU,ATL,356,Y
c-8,c-3,c-3,625,NW,BIL,MSP,748,N
c-3,c-11,c-5,2350,EV,ATL,DAB,366,Y
c-10,c-11,c-2,2122,US,CLT,BNA,329,N
c-5,c-29,c-7,1905,WN,IND,MDW,162,N
c-6,c-30,c-4,1641,AA,DFW,EGE,720,Y
c-1,c-18,c-2,724,DL,PBI,CVG,892,N
c-7,c-11,c-1,2321,DL,ATL,RSW,515,Y
c-11,c-20,c-7,2012,HP,CMH,LAS,1772,N
c-3,c-30,c-3,1400,US,PHL,BUF,279,Y
c-5,c-5,c-4,734,CO,EWR,DEN,1605,N
c-7,c-19,c-2,940,WN,SAN,PHX,304,Y
c-6,c-23,c-4,1030,OO,PHX,SLC,507,N
c-2,c-21,c-1,1450,UA,SAT,ORD,1041,Y
c-2,c-11,c-5,1344,OO,LAX,SBA,89,N
c-9,c-10,c-6,1515,DL,SLC,SEA,689,N
c-6,c-25,c-6,1845,TZ,LAS,HNL,2762,Y
c-11,c-19,c-6,605,OH,DCA,CMH,322,N
c-3,c-17,c-4,800,WN,LIT,STL,296,Y
c-5,c-21,c-6,1622,XE,IAH,XNA,438,N
c-11,c-12,c-6,1103,OO,SLC,BUR,574,N
c-7,c-18,c-1,1650,OH,IAD,CVG,388,Y
c-5,c-1,c-7,1845,WN,LAS,PHX,256,N
c-9,c-28,c-3,1350,WN,SMF,ONT,389,N
c-9,c-16,c-5,1744,CO,IAH,BOS,1597,Y
c-1,c-2,c-7,1507,MQ,ORD,MSN,109,Y
c-8,c-25,c-4,1907,XE,ORF,EWR,284,Y
c-3,c-11,c-5,1058,AA,SJU,FLL,1046,Y
c-4,c-8,c-5,2027,DL,BOS,LGA,185,N
c-4,c-16,c-6,822,HP,BWI,LAS,2106,Y
c-10,c-3,c-1,1115,WN,LAS,CMH,1772,Y
c-12,c-15,c-4,1037,FL,MEM,ATL,332,Y
c-12,c-19,c-1,1027,OO,SYR,ORD,607,Y
c-4,c-28,c-4,1006,DH,IAD,SWF,251,Y
c-6,c-22,c-3,812,MQ,CLL,DFW,164,N
c-7,c-18,c-1,1954,US,RSW,PHL,992,Y
c-8,c-11,c-4,627,B6,IAD,OAK,2408,N
c-9,c-27,c-2,2016,B6,SJU,JFK,1597,Y
c-4,c-17,c-7,1933,CO,EWR,CLE,404,N
c-1,c-6,c-4,1649,DL,BNA,ATL,214,Y
c-6,c-12,c-7,1714,OH,MYR,CVG,489,Y
c-5,c-31,c-2,1810,US,PHL,ATL,665,Y
c-12,c-15,c-4,2008,NW,PHL,MSP,980,Y
c-6,c-29,c-3,1352,AA,LAS,DFW,1055,Y
c-1,c-24,c-1,2113,AA,ORD,AUS,978,N
c-10,c-14,c-5,1435,AA,RDU,MIA,700,N
c-3,c-8,c-2,1339,MQ,BOS,STL,1046,Y
c-8,c-18,c-4,2303,FL,ATL,MCO,403,Y
c-1,c-12,c-3,915,AA,ELP,DFW,551,N
c-11,c-22,c-2,859,OO,SPI,ORD,174,N
c-5,c-22,c-7,2215,UA,DEN,OAK,957,Y
c-1,c-15,c-6,1646,B6,BOS,RSW,1249,Y
c-5,c-2,c-1,2056,XE,CLT,EWR,529,Y
c-6,c-12,c-7,1146,HP,LAS,SJC,386,N
c-7,c-8,c-5,2025,WN,DAL,ABQ,580,Y
c-12,c-3,c-6,1309,MQ,ORD,CLE,316,Y
c-8,c-24,c-3,1119,FL,FLL,PHL,992,Y
c-10,c-7,c-5,1154,NW,GRR,DTW,120,N
c-8,c-20,c-6,1329,B6,LGA,FLL,1076,N
c-3,c-2,c-3,1849,OO,SAN,LAX,109,N
c-6,c-13,c-1,1219,NW,MKE,MEM,556,Y
c-12,c-16,c-5,1630,MQ,ORD,DTW,235,Y
c-11,c-13,c-7,1100,OH,CVG,CHO,342,N
c-3,c-14,c-1,1126,AA,MCO,STL,880,N
c-11,c-5,c-6,801,MQ,BOS,LGA,185,N
c-5,c-8,c-7,919,UA,LAS,ORD,1515,N
c-4,c-17,c-7,1846,DL,SLC,SJC,585,N
c-3,c-16,c-3,1019,OO,PSP,LAX,110,N
c-8,c-19,c-5,1013,AA,RDU,ORD,647,N
c-12,c-18,c-7,1721,OO,SLC,XNA,1004,N
c-4,c-4,c-1,1924,OO,DRO,DEN,251,Y
c-3,c-25,c-5,1846,US,BUF,DCA,296,Y
c-3,c-30,c-3,1730,US,CHS,DCA,444,N
c-9,c-13,c-2,818,UA,OMA,ORD,416,N
c-5,c-9,c-1,2021,MQ,BOS,ORF,468,N
c-7,c-14,c-4,48,AA,PDX,DFW,1616,Y
c-9,c-22,c-4,1808,OO,LAX,SAN,109,N
c-1,c-28,c-5,637,UA,SNA,DEN,846,N
c-1,c-25,c-2,1720,MQ,SWF,ORD,714,N
c-9,c-3,c-6,1019,XE,EWR,BNA,748,N
c-2,c-7,c-1,1705,AA,ORD,TUL,585,Y
c-10,c-20,c-4,1722,US,RIC,PHL,198,Y
c-12,c-12,c-1,1555,FL,ATL,MKE,669,N
c-2,c-21,c-1,1600,WN,MSY,DAL,437,N
c-7,c-5,c-2,1709,AA,DFW,SNA,1205,Y
c-3,c-9,c-3,1718,OO,PSC,SLC,521,Y
c-7,c-1,c-5,2133,OO,DEN,IAH,861,Y
c-11,c-23,c-3,1120,HP,PHX,ONT,325,N
c-2,c-26,c-6,1629,MQ,GRR,ORD,137,N
c-6,c-16,c-4,2115,WN,OAK,MDW,1844,Y
c-5,c-26,c-4,736,HA,HNL,ITO,216,N
c-3,c-25,c-5,1759,OH,JFK,JAX,829,N
c-10,c-1,c-6,947,AA,DFW,ABQ,569,N
c-7,c-27,c-3,1809,WN,PVD,BNA,907,Y
c-9,c-27,c-2,1315,UA,ORD,ATL,606,N
c-7,c-14,c-4,1920,FL,PHF,ATL,508,Y
c-7,c-18,c-1,2248,UA,DEN,SFO,967,Y
c-12,c-6,c-2,2251,NW,HNL,LAX,2556,N
c-6,c-15,c-3,1624,DL,HOU,ATL,696,N
c-12,c-27,c-2,2010,WN,LAX,PHX,370,Y
c-11,c-13,c-7,1339,UA,SMF,ORD,1781,Y
c-2,c-3,c-4,1045,WN,ALB,BWI,288,N
c-8,c-14,c-7,1836,AA,ORD,EWR,719,Y
c-8,c-1,c-1,901,NW,MSY,DTW,926,N
c-6,c-1,c-3,1006,XE,EWR,DCA,199,Y
c-7,c-2,c-6,724,AA,AUS,DFW,190,Y
c-8,c-3,c-3,850,WN,LAS,SAT,1069,Y
c-1,c-2,c-7,1655,CO,EWR,FLL,1065,Y
c-9,c-26,c-1,1737,NW,BUF,DTW,240,Y
c-1,c-5,c-3,655,WN,STL,MDW,251,Y
c-2,c-20,c-7,2054,AA,DFW,IAH,224,N
c-4,c-26,c-2,1401,DH,IAD,BOS,413,Y
c-11,c-4,c-5,941,NW,BUF,DTW,240,N
c-7,c-17,c-7,1630,OO,BUR,SLC,574,N
c-5,c-25,c-3,2036,MQ,DFW,PIA,673,Y
c-1,c-17,c-1,1635,EV,GSP,CVG,317,N
c-5,c-15,c-7,1255,XE,EWR,BWI,169,N
c-6,c-18,c-6,626,OO,OAK,SLC,588,N
c-6,c-29,c-3,649,CO,GPT,IAH,376,N
c-9,c-4,c-7,600,EV,PIA,ATL,564,N
c-5,c-5,c-4,740,WN,TUS,SAN,367,N
c-3,c-13,c-7,1747,B6,BUF,JFK,301,Y
c-3,c-29,c-2,1559,CO,IAH,FLL,965,N
c-1,c-19,c-3,2202,AA,SFO,MIA,2585,N
c-6,c-30,c-4,1554,AA,ORD,BOS,867,Y
c-8,c-22,c-1,1934,DL,CVG,LAX,1900,Y
c-1,c-18,c-2,1626,DH,MCO,HSV,535,N
c-1,c-4,c-2,1901,MQ,RDU,BOS,612,Y
c-6,c-2,c-4,1510,DL,MSY,CVG,700,N
c-12,c-20,c-2,5,CO,PDX,EWR,2433,Y
c-4,c-28,c-4,1948,DL,ATL,ALB,852,Y
c-5,c-25,c-3,1017,US,PHL,STT,1605,Y
c-12,c-24,c-6,1728,NW,DCA,MEM,762,Y
c-8,c-18,c-4,850,WN,RNO,BOI,335,N
c-5,c-15,c-7,1407,OH,JAX,JFK,829,N
c-9,c-21,c-3,943,NW,GEG,MSP,1175,Y
c-10,c-28,c-5,1529,AA,SEA,DFW,1660,N
c-5,c-18,c-3,1128,AA,DFW,MDW,797,N
c-4,c-20,c-3,834,NW,SLC,MSP,991,N
c-10,c-20,c-4,1840,DL,ATL,LAS,1747,N
c-6,c-23,c-4,1833,NW,LAX,MSP,1536,Y
c-10,c-4,c-2,2011,AS,LAX,SEA,954,N
c-4,c-5,c-2,1853,UA,IAD,LAX,2288,N
c-6,c-27,c-1,725,WN,OAK,MDW,1844,Y
c-4,c-11,c-1,1923,OO,TYR,IAH,163,Y
c-8,c-10,c-3,1022,B6,MCO,JFK,944,N
c-6,c-17,c-5,1240,WN,OKC,HOU,419,N
c-1,c-20,c-4,1540,OH,CVG,HPN,597,Y
c-6,c-27,c-1,2031,OO,ORD,SAT,1041,Y
c-7,c-14,c-4,2125,FL,BUF,ATL,712,Y
c-12,c-7,c-3,1619,HP,PHX,PIT,1813,N
c-2,c-4,c-5,1715,OH,JFK,BOS,187,N
c-8,c-15,c-1,1633,DL,ORF,ATL,516,Y
c-11,c-18,c-5,651,US,MHT,PHL,290,N
c-1,c-9,c-7,1218,DL,ATL,SRQ,445,Y
c-4,c-25,c-1,700,WN,ORF,MDW,704,N
c-12,c-5,c-1,837,XE,CLT,IAH,913,Y
c-5,c-25,c-3,1203,NW,PHL,MSP,980,Y
c-7,c-15,c-5,1819,UA,IAH,DEN,861,Y
c-3,c-24,c-4,1229,CO,FLL,EWR,1065,N
c-1,c-10,c-1,1752,NW,FLL,DTW,1127,Y
c-6,c-2,c-4,750,XE,DAL,IAH,217,N
c-5,c-17,c-2,953,NW,DTW,ORF,529,N
c-7,c-1,c-5,2124,MQ,ORD,DSM,299,Y
c-1,c-29,c-6,2014,US,PHL,BTV,336,N
c-2,c-9,c-3,1053,EV,ATL,CRW,363,N
c-6,c-27,c-1,1500,XE,MEM,EWR,946,Y
c-8,c-8,c-1,929,MQ,DFW,VPS,626,Y
c-12,c-25,c-7,1357,MQ,DBQ,ORD,147,Y
c-2,c-22,c-2,631,AS,ONT,SEA,956,N
c-9,c-7,c-3,2010,AA,MIA,DCA,920,N
c-6,c-29,c-3,1810,NW,DTW,EWR,487,Y
c-7,c-21,c-4,2155,OH,ORF,ATL,516,Y
c-3,c-3,c-4,1438,OH,LEX,CVG,70,N
c-12,c-7,c-3,1320,WN,AUS,HOU,148,Y
c-8,c-2,c-2,1904,EV,CVG,AVL,275,N
c-1,c-26,c-3,1703,AA,DFW,TPA,929,N
c-1,c-31,c-1,1026,US,CLT,BNA,329,N
c-5,c-12,c-4,2116,AS,PDX,OAK,543,Y
c-5,c-12,c-4,625,WN,MCI,MDW,405,N
c-3,c-7,c-1,657,DL,JFK,SEA,2421,N
c-8,c-16,c-2,1922,HP,PHX,GEG,1020,N
c-11,c-28,c-1,1143,AA,BDL,ORD,783,Y
c-10,c-28,c-5,1934,HP,PHX,BUR,369,N
c-2,c-28,c-1,2420,EV,ATL,MLU,448,Y
c-7,c-31,c-7,627,AA,FAT,DFW,1313,N
c-5,c-21,c-6,1311,AS,SEA,TUS,1216,Y
c-10,c-17,c-1,1543,WN,HOU,BHM,570,Y
c-5,c-27,c-5,1516,NW,DEN,DTW,1123,N
c-3,c-25,c-5,1943,DH,RSW,IAD,890,Y
c-10,c-3,c-1,1749,AS,PDX,SMF,479,N
c-4,c-21,c-4,2012,AS,PDX,LAX,834,Y
c-9,c-19,c-1,1410,WN,MCO,IND,828,Y
c-8,c-12,c-5,2220,NW,MSP,LAX,1536,Y
c-8,c-30,c-2,1112,NW,LAX,LAS,236,N
c-1,c-23,c-7,2210,WN,CMH,MDW,284,N
c-8,c-9,c-2,1522,MQ,LGA,DCA,214,Y
c-10,c-14,c-5,719,HA,LIH,HNL,102,N
c-2,c-22,c-2,1504,AA,ORD,DEN,888,N
c-7,c-15,c-5,816,AA,PHX,DFW,868,Y
c-8,c-1,c-1,626,XE,IAD,EWR,213,N
c-9,c-9,c-5,1735,DL,LAX,OGG,2486,Y
c-3,c-27,c-7,2100,OO,PHX,SLC,507,Y
c-6,c-5,c-7,1510,DL,TLH,ATL,223,Y
c-8,c-15,c-1,1644,OO,COS,ORD,911,N
c-4,c-28,c-4,634,AA,RDU,DFW,1062,N
c-6,c-27,c-1,2009,WN,MCO,BWI,787,Y
c-8,c-24,c-3,1923,FL,ATL,BWI,576,Y
c-11,c-11,c-5,910,WN,TUL,MCI,223,N
c-6,c-10,c-5,1513,OH,SDF,CVG,83,Y
c-8,c-16,c-2,2041,MQ,BWI,BOS,370,Y
c-4,c-28,c-4,1538,EV,ATL,GRR,640,Y
c-6,c-2,c-4,1625,WN,LAX,BNA,1797,N
c-10,c-23,c-7,1928,WN,OAK,PHX,646,Y
c-5,c-20,c-5,1353,AS,PDX,OAK,543,Y
c-4,c-3,c-7,1635,CO,MCO,EWR,938,Y
c-5,c-11,c-3,1735,WN,OAK,PHX,646,Y
c-7,c-18,c-1,1556,NW,SFO,HNL,2398,Y
c-12,c-9,c-5,1439,AS,PDX,OAK,543,N
c-4,c-30,c-6,840,WN,BWI,PVD,328,N
c-5,c-13,c-5,909,EV,CAE,CVG,404,Y
c-10,c-26,c-3,1040,WN,MDW,DTW,229,Y
c-8,c-22,c-1,1437,MQ,JFK,RDU,426,Y
c-11,c-17,c-4,1558,MQ,DTW,LGA,501,Y
c-10,c-19,c-3,2115,OO,LAX,CLD,86,N
c-9,c-1,c-4,840,MQ,JFK,RDU,426,N
c-9,c-22,c-4,555,AS,SEA,LAX,954,N
c-5,c-13,c-5,2045,OH,STL,CVG,307,Y
c-11,c-24,c-4,1924,US,CLT,PHL,448,N
c-2,c-28,c-1,1631,FL,RSW,DCA,892,Y
c-11,c-21,c-1,1620,WN,AUS,MAF,294,N
c-12,c-11,c-7,916,XE,PNS,IAH,489,N
c-1,c-6,c-4,1805,WN,LAS,MDW,1521,N
c-8,c-8,c-1,1910,US,ROC,CLT,573,Y
c-7,c-18,c-1,1743,WN,OAK,SAN,446,Y
c-11,c-30,c-3,2147,NW,ANC,MSP,2518,N
c-3,c-24,c-4,1855,WN,PHX,BUR,369,Y
c-4,c-28,c-4,604,AA,LGA,MIA,1097,N
c-12,c-22,c-4,1434,NW,EGE,MSP,788,Y
c-4,c-20,c-3,645,MQ,SAN,LAX,109,N
c-2,c-27,c-7,2124,WN,SJC,LAX,308,Y
c-4,c-23,c-6,2029,AA,DFW,ONT,1189,N
c-8,c-18,c-4,2235,DL,ATL,TUS,1541,Y
c-9,c-16,c-5,1937,AA,DFW,IAD,1172,Y
c-9,c-18,c-7,723,B6,BOS,TPA,1185,N
c-11,c-13,c-7,810,WN,SMF,LAX,373,N
c-1,c-1,c-6,1449,NW,MEM,LGA,963,N
c-8,c-14,c-7,730,DL,RSW,CVG,879,N
c-7,c-27,c-3,747,US,CHS,CLT,168,N
c-2,c-16,c-3,955,WN,HOU,STL,687,N
c-4,c-4,c-1,1140,WN,MCI,ABQ,718,N
c-11,c-7,c-1,645,DL,ABQ,ATL,1269,N
c-7,c-17,c-7,1209,AA,DFW,CLT,936,Y
c-4,c-17,c-7,653,DL,LAX,CVG,1900,N
c-5,c-28,c-6,1026,UA,PHL,DEN,1557,N
c-12,c-7,c-3,2102,DL,BOS,LGA,185,Y
c-5,c-22,c-7,2311,B6,SLC,JFK,1989,N
c-1,c-4,c-2,1537,US,PHL,BUF,279,Y
c-4,c-6,c-3,608,EV,CAE,ATL,191,N
c-6,c-16,c-4,1804,OH,CVG,OMA,614,Y
c-3,c-27,c-7,2236,DL,ATL,DFW,732,Y
c-12,c-13,c-2,1425,WN,OAK,LAS,407,N
c-10,c-23,c-7,1221,NW,DTW,MCI,629,N
c-11,c-29,c-2,2144,FL,ATL,RIC,481,Y
c-4,c-18,c-1,1723,AS,SJC,SEA,697,N
c-7,c-10,c-7,850,DL,IAD,ATL,533,N
c-4,c-11,c-1,906,US,PHL,SAN,2369,N
c-3,c-27,c-7,37,DL,ATL,SEA,2182,Y
c-7,c-29,c-5,2255,WN,LAX,LAS,236,Y
c-5,c-24,c-2,655,DL,LAX,JFK,2475,N
c-12,c-9,c-5,1410,WN,FLL,MCO,178,Y
c-7,c-12,c-2,1115,WN,HOU,TUL,453,N
c-6,c-2,c-4,1209,HP,LAS,LAX,236,Y
c-5,c-6,c-5,1210,WN,MDW,SAN,1728,N
c-9,c-26,c-1,2129,DL,ATL,LGA,761,N
c-5,c-22,c-7,1214,NW,DTW,SEA,1927,N
c-7,c-7,c-4,1041,OO,ACV,SFO,250,Y
c-4,c-27,c-3,1710,MQ,CRP,DFW,354,N
c-2,c-8,c-2,645,WN,BOI,PDX,344,N
c-5,c-28,c-6,1743,MQ,PIT,ORD,412,Y
c-2,c-8,c-2,2030,EV,SLC,OKC,866,N
c-6,c-10,c-5,616,DL,SMF,SLC,532,N
